[2025-07-12 17:47:37.487] [file_logger] [info] Scan started for the base directory: /home/vedant/cpp_dev
[2025-07-12 17:47:37.488] [file_logger] [info] Scanned the file and prepped metadata of:.gitmodules
[2025-07-12 17:47:37.488] [file_logger] [info] Scanned the file and prepped metadata of:metadata.json
[2025-07-12 17:47:37.488] [file_logger] [info] Scanned the file and prepped metadata of:directory_parser.cpp
[2025-07-12 17:47:37.488] [file_logger] [info] Scanned the file and prepped metadata of:parser_with_yaml.cpp
[2025-07-12 17:47:37.488] [file_logger] [info] Scanned the file and prepped metadata of:config.yaml
[2025-07-12 17:47:37.488] [file_logger] [info] Scanned the file and prepped metadata of:parser_with_yaml
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:COMMIT_EDITMSG
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:index
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:description
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:HEAD
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:config
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:license.txt
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:CMakeLists.txt
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:readme.md
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:RapidJSONConfig.cmake.in
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:travis-doxygen.sh
[2025-07-12 17:47:37.489] [file_logger] [info] Scanned the file and prepped metadata of:readme.zh-cn.md
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:package.json
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:.gitmodules
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:appveyor.yml
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:.gitattributes
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:library.json
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:.gitignore
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:RapidJSON.pc.in
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:CHANGELOG.md
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:rapidjson.autopkg
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:include_dirs.js
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:.travis.yml
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:RapidJSONConfigVersion.cmake.in
[2025-07-12 17:47:37.490] [file_logger] [info] Scanned the file and prepped metadata of:settings.json
[2025-07-12 17:47:37.491] [file_logger] [info] Scanned the file and prepped metadata of:CMakeLists.txt
[2025-07-12 17:47:37.491] [file_logger] [info] Scanned the file and prepped metadata of:SECURITY.md
[2025-07-12 17:47:37.491] [file_logger] [info] Scanned the file and prepped metadata of:README.md
[2025-07-12 17:47:37.491] [file_logger] [info] Scanned the file and prepped metadata of:yaml-cpp.pc.in
[2025-07-12 17:47:37.491] [file_logger] [info] Scanned the file and prepped metadata of:yaml-cpp-config.cmake.in
[2025-07-12 17:47:37.492] [file_logger] [info] Scanned the file and prepped metadata of:CONTRIBUTING.md
[2025-07-12 17:47:37.492] [file_logger] [info] Scanned the file and prepped metadata of:.bazelignore
[2025-07-12 17:47:37.492] [file_logger] [info] Scanned the file and prepped metadata of:cmake_uninstall.cmake.in
[2025-07-12 17:47:37.492] [file_logger] [info] Scanned the file and prepped metadata of:.codedocs
[2025-07-12 17:47:37.492] [file_logger] [info] Scanned the file and prepped metadata of:install.txt
[2025-07-12 17:47:37.492] [file_logger] [info] Scanned the file and prepped metadata of:LICENSE
[2025-07-12 17:47:37.492] [file_logger] [info] Scanned the file and prepped metadata of:MODULE.bazel
[2025-07-12 17:47:37.493] [file_logger] [info] Scanned the file and prepped metadata of:BUILD.bazel
[2025-07-12 17:47:37.493] [file_logger] [info] Scanned the file and prepped metadata of:.gitignore
[2025-07-12 17:47:37.493] [file_logger] [info] Scanned the file and prepped metadata of:MODULE.bazel.lock
[2025-07-12 17:47:37.493] [file_logger] [info] Scanned the file and prepped metadata of:.clang-format
[2025-07-12 17:47:37.493] [file_logger] [info] Scanned the file and prepped metadata of:scan.log
[2025-07-12 17:47:37.493] [file_logger] [info] Scanned the file and prepped metadata of:CMakeLists.txt
[2025-07-12 17:47:37.493] [file_logger] [info] Scanned the file and prepped metadata of:README.md
[2025-07-12 17:47:37.494] [file_logger] [info] Scanned the file and prepped metadata of:.git-blame-ignore-revs
[2025-07-12 17:47:37.494] [file_logger] [info] Scanned the file and prepped metadata of:appveyor.yml
[2025-07-12 17:47:37.494] [file_logger] [info] Scanned the file and prepped metadata of:.gitattributes
[2025-07-12 17:47:37.494] [file_logger] [info] Scanned the file and prepped metadata of:INSTALL
[2025-07-12 17:47:37.494] [file_logger] [info] Scanned the file and prepped metadata of:.clang-tidy
[2025-07-12 17:47:37.494] [file_logger] [info] Scanned the file and prepped metadata of:LICENSE
[2025-07-12 17:47:37.494] [file_logger] [info] Scanned the file and prepped metadata of:.gitignore
[2025-07-12 17:47:37.495] [file_logger] [info] Scanned the file and prepped metadata of:.clang-format
[2025-07-12 17:47:37.495] [file_logger] [info] Scanned the file and prepped metadata of:prepare-commit-msg.sample
[2025-07-12 17:47:37.495] [file_logger] [info] Scanned the file and prepped metadata of:fsmonitor-watchman.sample
[2025-07-12 17:47:37.495] [file_logger] [info] Scanned the file and prepped metadata of:post-update.sample
[2025-07-12 17:47:37.495] [file_logger] [info] Scanned the file and prepped metadata of:pre-push.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:commit-msg.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:push-to-checkout.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:pre-rebase.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:applypatch-msg.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:pre-receive.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:pre-merge-commit.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:pre-applypatch.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:pre-commit.sample
[2025-07-12 17:47:37.496] [file_logger] [info] Scanned the file and prepped metadata of:update.sample
[2025-07-12 17:47:37.511] [file_logger] [info] Scanned the file and prepped metadata of:exclude
[2025-07-12 17:47:37.511] [file_logger] [info] Scanned the file and prepped metadata of:HEAD
[2025-07-12 17:47:37.512] [file_logger] [info] Scanned the file and prepped metadata of:FindGTestSrc.cmake
[2025-07-12 17:47:37.512] [file_logger] [info] Scanned the file and prepped metadata of:CMakeLists.txt
[2025-07-12 17:47:37.512] [file_logger] [info] Scanned the file and prepped metadata of:traverseaspointer.cpp
[2025-07-12 17:47:37.512] [file_logger] [info] Scanned the file and prepped metadata of:CMakeLists.txt
[2025-07-12 17:47:37.512] [file_logger] [info] Scanned the file and prepped metadata of:valgrind.supp
[2025-07-12 17:47:37.512] [file_logger] [info] Scanned the file and prepped metadata of:CMakeLists.txt
